,,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value ","Input Format"
102,"1905",766,"(<i>Camellia sinensis</i>) (Leaf) (min. 98% Total Polyphenols,",," ",1
103,"1905",766,"80% Total Catechins and 50% EGCg) (Contains 2 mg of naturally",," ",1
104,"1905",766,"occurring caffeine)",," ",1
105,"1905",766,"<b>Yerba Mate Extract</b> (<i>Ilex paraguariensis</i>)","<b>200 mg*</b>"," ",1
106,"1905",766,"(Leaf) (min. 20% Total Polyphenols) (Contains 18 mg of naturally occurring",," ",1
107,"1905",766,"caffeine)",," ",1
108,"1908",789,"Serving Size:","2 Vcaps®",,1
109,"1908",789,"Servings Per Container:",50,,1
110,"1908",789,"Vitamin B-6 (from Pyridoxine HCl)","25 mg",1250%,1
111,"1908",789,"Potassium (from Potassium Chloride)","99 mg",3%,1
112,"1908",789,"Uva Ursi Extract (<i>Arctostaphylos uva-ursi</i>)","200 mg","† ",1
113,"1908",789,"(Leaf) (Standardized to min. 20% Arbutin)",," ",1
114,"1908",789,"Dandelion (<i>Taraxacum officinale</i>) (Leaf)","120 mg","† ",1
115,"1908",789,"Goldenrod (<i>Solidago odora</i>) (Herb)","120 mg","† ",1
116,"1908",789,"Juniper (<i>Juniperus communis</i>) (Berries)","100 mg","† ",1
117,"1908",789,"Buchu (<i>Agathosma betulina</i>) (Leaf)","100 mg","† ",1
118,"1908",789,"Bladderwrack (<i>Fucus vesiculosus</i>) (Thallus)","50 mg","† ",1
119,"2004",605,"Serving Size:","3 Capsules",,1
120,"2004",605,"Servings Per Container:",40,,1
121,"2004",605,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%,1
122,"2004",605,"L-Arginine","600 mg","† ",1
123,"2004",605,"L-Citrulline","100 mg","† ",1
124,"2004",605,"L-Norvaline","100 mg","† ",1
125,"2004",605,"L-Ornithine (from L-Ornithine HCl)","200 mg","† ",1
126,"2004",605,"Creatine Monohydrate (Micronized)","750 mg","† ",1
127,"2004",605,"Yerba Mate Extract (<i>liex paraguariensis</i>) (Leaf)<br />(Contains 8 mg of naturally occurring caffeine)","100 mg","† ",1
128,"2004",605,"Green Tea Extract (<i>Camellia sinensis</i>) (Leaf)<br />(60% Polyphenols, 40% Catechins) (&amplt;1 mg of naturally occurring caffeine)","100 mg","† ",1
129,"2004",605,"Guarana Standardized Extract (<i>Paullinia cupana</i>) (Seed)<br />(Contains 11 mg of naturally occurring caffeine)","50 mg","† ",1
130,"2004",605,"Gymnema Sylvestre Extract (GS4&ampreg;)<br />(25% Gymnenic Acid) (<em>Gymnema sylvestre</em>) (Leaf)","50 mg","† ",1
131,"2004",605,"Rhodiola Extract (<i>Rhodiola rosea</i>) (Root) (3% Rosavins)","25 mg","† ",1
132,"2004",605,"CoQ10 (Coenzyme Q10)","5 mg","† ",1
133,"2004",605,"Octacosanol (from Spinach) (Wheat-Free)","1.0 mg (1,000 mcg)","† ",1
134,"2005",606,"Serving Size:","1 Scoop (20 g)",,1
135,"2005",606,"Servings Per Container:",50,,1
136,"2005",606,"Calories",60," ",1
137,"2005",606,"Total Carbohydrate","15 g","5%* ",1
138,"2005",606,"Sugars","14 g","† ",1
139,"2005",606,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%,1
140,"2005",606,"L-Arginine","600 mg","† ",1
141,"2005",606,"L-Citrulline","100 mg","† ",1
142,"2005",606,"L-Norvaline","100 mg","† ",1
143,"2005",606,"L-Ornithine (from L-Ornithine HCl)","200 mg","† ",1
144,"2005",606,"Creatine Monohydrate (Micronized)","3.0 g (3,000 mg)","† ",1
145,"2005",606,"Yerba Mate Extract (<em>Ilex paraguariensis</em>) (Leaf) (Contains 8 mg of naturally occurring caffeine)","100 mg","† ",1
146,"2005",606,"Green Tea Extract (<em>Camellia sinensis</em>) (Leaf) (60% Polyphenols, 40% Catechins) (Contains 4 mg of naturally occurring caffeine)","100 mg","† ",1
147,"2005",606,"Guarana Standardized Extract (<em>Paulinia cupana</em>) (Seed) (Contains 7.5 mg of naturally occurring caffeine)","50 mg","† ",1
148,"2005",606,"Gymnema Sylvestre Extract (GS4®) (25% Gymnenic Acid) (<em>Gymnema sylvestre</em>) (Leaf)","50 mg","† ",1
149,"2005",606,"Rhodiola Extract (<em>Rhodiola rosea</em>) (Root) (3% Rosavins)","25 mg","† ",1
150,"2005",606,"CoQ10 (Coenzyme Q10)","5 mg","† ",1
151,"2005",606,"Octacosanol (from Spinach) (Wheat-Free)","1.0 mg (1,000 mcg)","† ",1
152,"2005",606,"Organic Stevia Extract (<em>Stevia rebaudiana</em>) (Leaf)","160 mg","† ",1
153,"2020",625,"Serving Size:","1/2 Cup (50 g)",,1
154,"2020",625,"Servings Per Container:",18,,1
155,"2020",625,"Calories",190," ",1
156,"2020",625,"Total Carbohydrate","47 g","16%* ",1
157,"2020",625,"Sugars","2 g","† ",1
158,"2020",625,"<strong>Carbo Powder</strong>","<strong>50 g</strong>","<strong>†</strong> ",1
159,"2031",643,"Serving Size:","1 Heaping Teaspoon (5.0 g)",,1
160,"2031",643,"Servings Per Container:",120,,1
161,"2031",643,"Calories",15," ",1
162,"2031",643,"Creatine Monohydrate","5.0 g (5,000 mg)","† ",1
163,"2032",642,"Serving Size:","1 Heaping Teaspoon (5.0 g)",,1
164,"2032",642,"Servings Per Container:",200,,1
165,"2032",642,"Calories",15," ",1
166,"2032",642,"Creatine Monohydrate","5.0 g (5000 mg)","† ",1
167,"2040",655,"Serving Size:","1/4 Cup (20 g)",,1
168,"2040",655,"Servings Per Container:",27,,1
169,"2040",655,"Calories",75," ",1
170,"2040",655,"Calories from Fat",0," ",1
171,"2040",655,"<strong>Sodium</strong>","250 mg","<strong>10%</strong> ",1
172,"2040",655,"<strong>Total Carbohydrate</strong>","0.9 g","<strong>&#60;1%</strong> ",1
173,"2040",655,"<strong>Protein</strong>","16 g"," ",1
174,"2040",655,"Vitamin A",,0%,1
175,"2040",655,"Vitamin C",,0%,1
176,"2040",655,"Calcium",,2%,1
177,"2040",655,"Iron",,0,1
178,"2040",655,"Riboflavin (B-2)",,27%,1
179,"2040",655,,," ",1
180,"2040",655,"<strong>Typical Amino Acid Profile</strong>",," ",1
181,"2040",655,"<strong>Per 20 g Serving:</strong>",," ",1
182,"2040",655,"L-Alanine","1200 mg"," ",1
183,"2040",655,"L-Arginine","840 mg"," ",1
184,"2040",655,"L-Aspartic Acid","1675 mg"," ",1
185,"2040",655,"L-Glutamic Acid","2100 mg"," ",1
186,"2040",655,"Glycine","525 mg"," ",1
187,"2040",655,"L-Histidine","350 mg"," ",1
188,"2040",655,"L-Isoleucine","725 mg"," ",1
189,"2040",655,"L-Leucine","1205 mg"," ",1
190,"2040",655,"L-Lysine","940 mg"," ",1
191,"2040",655,"L-Methionine","785 mg"," ",1
192,"2040",655,"L-Phenylalanine","850 mg"," ",1
193,"2040",655,"L-Proline","565 mg"," ",1
194,"2040",655,"L-Proline","565 mg"," ",1
195,"2040",655,"L-Serine","1025 mg"," ",1
196,"2040",655,"L-Threonine","695 mg"," ",1
197,"2040",655,"L-Valine","1033 mg"," ",1
198,"2052",657,"Serving Size:","1 Scoop (45 g)",,1
199,"2052",657,"Servings Per Container:",22,,1
200,"2052",657,"Calories",150," ",1
201,"2052",657,"Total Fat","&#60; 0.5 g","&#60; 1%* ",1
202,"2052",657,"Cholesterol","5 mg",2%,1
203,"2052",657,"Total Carbohydrate","30 g","10%* ",1
204,"2052",657,"Sugars","25 g","† ",1
205,"2052",657,"Protein","6 g","12%* ",1
206,"2052",657,"Beta-Carotene (as pro-Vitamin A 780 mcg)","1300 IU",26%,1
207,"2052",657,"Vitamin C (as Ascorbic Acid)","250 mg",417%,1
208,"2052",657,"Vitamin E (as d-alpha Tocopheryl Acetate)","30 IU",100%,1
209,"2052",657,"Calcium (from Calcium Citrate)","50 mg",5%,1
210,"2052",657,"Magnesium (from Magnesium Citrate)","180 mg",45%,1
211,"2052",657,"Sodium","65 mg",3%,1
212,"2052",657,"Potassium (from Potassium Gluconate)","250 mg",7%,1
213,"2052",657,"Whey Protein Hydrolysate (Instantized)","4.0 g","† ",1
214,"2052",657,"L-Glutamine (Free-Form)","1.0 g","† ",1
215,"2052",657,"L-Arginine (Free-Form)","500 mg","† ",1
216,"2052",657,"L-Valine (Free-Form)","500 mg","† ",1
217,"2052",657,"L-Isoleucine (Free-Form)","250 mg","† ",1
218,"2052",657,"L-Leucine (Free-Form)","250 mg","† ",1
219,"2060",661,"Serving Size:","2 Heaping Tablespoons (32 g)",,1
220,"2060",661,"Servings Per Container:",14,,1
221,"2060",661,"Calories",150," ",1
222,"2060",661,"Calories from Fat",60," ",1
223,"2060",661,"Total Fat","6 g","9%* ",1
224,"2060",661,"Saturated Fat","1 g","5%* ",1
225,"2060",661,"Trans Fat","0 g","† ",1
226,"2060",661,"Polyunsaturated Fat","3 g","† ",1
227,"2060",661,"Monounsaturated Fat","1 g","† ",1
228,"2060",661,"Cholesterol","0 mg",0%,1
229,"2060",661,"Total Carbohydrate","12 g","4%* ",1
230,"2060",661,"Dietary Fiber","4 g","16%* ",1
231,"2060",661,"Sugars","4 g","† ",1
232,"2060",661,"Protein","11 g","22%* ",1
233,"2060",661,"Calcium (from Tri-Calcium Phosphate and Cal. Lactate)","670 mg",67%,1
234,"2060",661,"Phosphorous","200 mg",20%,1
235,"2060",661,"Magnesium","60 mg",15%,1
236,"2060",661,"Sodium","15 mg","<1% ",1
237,"2060",661,"Inulin [from Chicory (<i>Cichorium intybus)</i> Root]","1.75 g (1,750 mg)","† ",1
238,"2060",661,"Bromelain (2400 GDU/g)","150 mg","† ",1
239,"2060",661,"Beta-1,3/1,6-D-Glucan Powder","100 mg","† ",1
240,"2060",661,"<i>Stevia rebaudiana</i> Extract (Leaf)","55 mg","† ",1
241,"2060",661,,," ",1
242,"2060",661,"<strong>Typical Profile of naturally occurring nutrients (per serving)**</strong>",," ",1
243,"2060",661,"Total Soy Isoflavones","49 mg","† ",1
244,"2060",661,"Genistein","24 mg","† ",1
245,"2060",661,"Daidzein","22 mg","† ",1
246,"2060",661,"Glycetin","3 mg","† ",1
247,"2105",690,"Serving Size:","3 Tablets",,1
248,"2105",690,"Servings Per Container:",40,,1
249,"2105",690,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%,1
250,"2105",690,"Chromium (from Chromax® Chromium Picolinate)","200 mcg",167%,1
251,"2105",690,"Choline (as Choline Bitartrate)","850 mg","† ",1
252,"2105",690,"Inositol","1.0 g (1,000 mg)","† ",1
253,"2105",690,"L-Methionine","500 mg","† ",1
254,"2105",690,"Taurine","250 mg","† ",1
255,"2105",690,"L-Carnitine (as L-Carnitine Tartrate)","100 mg","† ",1
256,"2135",738,"Serving Size:","1 Level Scoop (33 g)",,1
257,"2135",738,"Servings Per Container:",27,,1
258,"2135",738,"Calories",130," ",1
259,"2135",738,"Total Fat","2 g","3%* ",1
260,"2135",738,"Trans Fat","0 g","† ",1
261,"2135",738,"Cholesterol","0 mg",0%,1
262,"2135",738,"Total Carbohydrate","1 g","&#60;1%* ",1
263,"2135",738,"Dietary Fiber","0 g","0%* ",1
264,"2135",738,"Sugars","0 g","† ",1
265,"2135",738,"Protein","28 g","56%* ",1
266,"2135",738,"Sodium","330 mg",14%,1
267,"2135",738,,," ",1
268,"2135",738,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," ",1
269,"2135",738,"<strong>Essential Amino Acids</strong>","<strong>mg Per 33 g Serving</strong>"," ",1
270,"2135",738,"L-Histidine",660," ",1
271,"2135",738,"L-Isoleucine",1287," ",1
272,"2135",738,"L-Leucine",2244," ",1
273,"2135",738,"L-Lysine",1980," ",1
274,"2135",738,"L-Methionine",264," ",1
275,"2135",738,"L-Phenylalanine",1419," ",1
276,"2135",738,"L-Threonine",1089," ",1
277,"2135",738,"L-Tryptophan",264," ",1
278,"2135",738,"L-Valine",1353," ",1
279,"2135",738,"<strong>Non-Essential Amino Acids</strong>",," ",1
280,"2135",738,"L-Alanine",1122," ",1
281,"2135",738,"L-Arginine",2376," ",1
282,"2135",738,"L-Aspartic Acid",3135," ",1
283,"2135",738,"L-Cysteine",594," ",1
284,"2135",738,"L-Glutamic Acid",4686," ",1
285,"2135",738,"Glycine",1122," ",1
286,"2135",738,"L-Proline",1221," ",1
287,"2135",738,"L-Serine",1386," ",1
288,"2135",738,"L-Tyrosine",1023,"- ",1
289,"2135",738,"<strong>Total</strong>","<strong>27,225 mg</strong>"," ",1
290,"2140",749,"Serving Size:","2 Tablets",,1
291,"2140",749,"Servings Per Container:",45,,1
292,"2140",749,"Calcium (from Calcium Pyruvate)","260 mg",26%,1
293,"2140",749,"<strong>Calcium Pyruvate</strong>","<strong>2.0 g (2,000 mg)</strong>","<strong>†</strong> ",1
294,"2140",749,"Pyruvic Acid","1.2 g (1,200 mg)","† ",1
295,"2144",652,"Serving Size:","6 Vcaps&ampreg;",,1
296,"2144",652,"Servings Per Container:",10,,1
297,"2144",652,"Calories",20," ",1
298,"2144",652,"Total Carbohydrates","4.5 g",2%,1
299,"2144",652,"<b>D-Ribose Powder (Bioenergy RIBOSE™)</b>","<b>4.5 g (4,500 mg)</b>","<b>†</b> ",1
300,"2146",653,"Serving Size:","1 1/2 Level Teaspoons (5 g)",,1
301,"2146",653,"Servings Per Container:",22,,1
302,"2146",653,"Calories",20," ",1
303,"2146",653,"Total Carbohydrates","5 g","2%* ",1
304,"2146",653,"<b>D-Ribose Powder (Bioenergy RIBOSE™)</b>","<b>5 g (5,000 mg)</b>","<b>†</b> ",1
305,"2148",755,"Serving Size:","1 Chewable Tablet",,1
306,"2148",755,"Servings Per Container:",90,,1
307,"2148",755,"Calories",10," ",1
308,"2148",755,"Total Carbohydrate","2 g","<1% ",1
309,"2148",755,"Sugars","2 g"," ",1
310,"2148",755,"Beta-Carotene (as pro-Vitamin A 150 mcg)","250 IU",5%,1
311,"2148",755,"<strong>D-Ribose Powder (Bioenergy RIBOSE</strong><strong>™)</strong>","<strong>1.5 g (1,500 mg)</strong>","<strong>†</strong> ",1
312,"2148",755,"Dextrose","350 mg","† ",1
313,"2168",780,"Serving Size:","2 Vcaps&ampreg;",,1
314,"2168",780,"Servings Per Container:",30,,1
315,"2168",780,"Vitamin B-6 (from Pyridoxine HCl)","3.5 mg",175%,1
316,"2168",780,"Magnesium (from Maganesium Aspartate)","150 mg",38%,1
317,"2168",780,"Zinc (from Zinc L-Monomethionine and Zinc Aspartate)","10 mg",67%,1
318,"2168",780,"<strong>ZMA&ampreg; (Patented mineral blend of Zinc L-Monomethionine, Magnesium/</strong>Zinc Aspartate, and Pyridoxine HCl)","<strong>808 mg</strong>","<strong>&ampdagger;</strong> ",1
319,"2168",780,"Eleuthero (<i>Eleutherococcus senticosus</i>) (Root)","300 mg","† ",1
320,"2168",780,"<i>Tribulus terrestris</i> Extract (Fruit) (min. 20% Protodioscin)","250 mg","† ",1
321,"2168",780,"<strong>LJ100</strong>®<strong> Tongkat Ali (<em>Eurycoma longifolia</em> Extract) (Root) (min. 22% Eurypeptides)</strong>","<strong>50 mg</strong>","<strong>†</strong> ",1
322,"2170",782,"Serving Size:","1 Capsule",,1
323,"2170",782,"Servings Per Container:",100,,1
324,"2170",782,"<em>Tribulus terrestris</em> (Standardized Extract) (min. 45% Saponins) (Aerial Parts and Fruit)","500 mg*"," ",1
325,"2173",793,"Serving Size:","1 Scoop (42 g)",,1
326,"2173",793,"Servings Per Container:",12,,1
327,"2173",793,"Calories",165," ",1
328,"2173",793,"Calories from Fat",15," ",1
329,"2173",793,"Total Fat","1.5 g","2%* ",1
330,"2173",793,"Saturated Fat","0.8 g","4%* ",1
331,"2173",793,"Trans Fat","0 g","† ",1
332,"2173",793,"Cholesterol","4 mg",1%,1
333,"2173",793,"Total Carbohydrate","9 g","3%* ",1
334,"2173",793,"Sugars","9 g","† ",1
335,"2173",793,"Protein","30 g","60%* ",1
336,"2173",793,"Calcium","90 mg",9%,1
337,"2173",793,"Sodium","100 mg",4%,1
338,"2173",793,"Potassium","128 mg",4%,1
339,"2173",793,"<em>Stevia rebaudiana</em> Extract (Leaf)","93 mg","† ",1
340,"2173",793,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," ",1
341,"2173",793,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," ",1
342,"2173",793,"L-Isoleucine",1712," ",1
343,"2173",793,"L-Leucine",3120," ",1
344,"2173",793,"L-Lysine",2600," ",1
345,"2173",793,"L-Methionine",734," ",1
346,"2173",793,"L-Phenylalanine",885," ",1
347,"2173",793,"L-Threonine",1914," ",1
348,"2173",793,"L-Tryptophan",455," ",1
349,"2173",793,"L-Valine",1529," ",1
350,"2173",793,"<b>Non-essential Amino Acids</b>",," ",1
351,"2173",793,"L-Alanine",1442," ",1
352,"2173",793,"L-Arginine",762," ",1
353,"2173",793,"L-Aspartic Acid",2969," ",1
354,"2173",793,"L-Cysteine",629," ",1
355,"2173",793,"L-Glutamic Acid",5400," ",1
356,"2173",793,"L-Glutamine",830," ",1
357,"2173",793,"Glycine",497," ",1
358,"2173",793,"L-Histidine",450," ",1
359,"2173",793,"L-Proline",1725," ",1
360,"2173",793,"L-Serine",1389," ",1
361,"2173",793,"L-Tyrosine",875," ",1
362,"2173",793,"<strong>Total</strong>","<strong>29,917 mg</strong>"," ",1
363,"2175",794,"Serving Size:","1 Scoop (42 g)",,1
364,"2175",794,"Servings Per Container:",21,,1
365,"2175",794,"Calories",165," ",1
366,"2175",794,"Calories from Fat",15," ",1
367,"2175",794,"Total Fat","1.5 g","2%* ",1
368,"2175",794,"Saturated Fat","0.8 g","4%* ",1
369,"2175",794,"Trans Fat","0 g","† ",1
370,"2175",794,"Cholesterol","4 mg",1%,1
371,"2175",794,"Total Carbohydrate","9 g","3%* ",1
372,"2175",794,"Sugars","9 g","† ",1
373,"2175",794,"Protein","30 g","60%* ",1
374,"2175",794,"Calcium","90 mg",9%,1
375,"2175",794,"Sodium","100 mg",4%,1
376,"2175",794,"Potassium","128 mg",4%,1
377,"2175",794,"<em>Stevia rebaudiana</em> Extract (Leaf)","93 mg","† ",1
378,"2175",794,,," ",1
379,"2175",794,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," ",1
380,"2175",794,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," ",1
381,"2175",794,"L-Isoleucine",1712," ",1
382,"2175",794,"L-Leucine",3120," ",1
383,"2175",794,"L-Lysine",2600," ",1
384,"2175",794,"L-Methionine",734," ",1
385,"2175",794,"L-Phenylalanine",885," ",1
386,"2175",794,"L-Threonine",1914," ",1
387,"2175",794,"L-Tryptophan",455," ",1
388,"2175",794,"L-Valine",1529," ",1
389,"2175",794,"<strong>Non-Essential Amino Acids</strong>",," ",1
390,"2175",794,"L-Alanine",1442," ",1
391,"2175",794,"L-Arginine",762," ",1
392,"2175",794,"L-Aspartic Acid",2969," ",1
393,"2175",794,"L-Cysteine",629," ",1
394,"2175",794,"L-Glutamic Acid",5400," ",1
395,"2175",794,"L-Glutamine",830," ",1
396,"2175",794,"Glycine",497," ",1
397,"2175",794,"L-Histidine",450," ",1
398,"2175",794,"L-Proline",1725," ",1
399,"2175",794,"L-Serine",1389," ",1
400,"2175",794,"L-Tyrosine",875," ",1
401,"2175",794,"<strong>Total</strong>","<strong>29,917 mg</strong>"," ",1
402,"2178",792,"Serving Size:","1 Scoop (42 g)",,1
403,"2178",792,"Servings Per Container:",21,,1
404,"2178",792,"Calories",155," ",1
405,"2178",792,"Calories from Fat",15," ",1
406,"2178",792,"Total Fat","1.5 g","2%* ",1
407,"2178",792,"Saturated Fat","1 g","5%* ",1
408,"2178",792,"Trans Fat","0 g","† ",1
409,"2178",792,"Cholesterol","24 mg",8%,1
410,"2178",792,"Total Carbohydrate","9 g","3%* ",1
411,"2178",792,"Sugars","7 g","† ",1
412,"2178",792,"Protein","26 g","52%* ",1
413,"2178",792,"Calcium","170 mg",17%,1
414,"2178",792,"Sodium","73 mg",3%,1
415,"2178",792,"<i>Stevia rebaudiana</i> Extract (Leaf)","97 mg","† ",1
416,"2178",792,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," ",1
417,"2178",792,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," ",1
418,"2178",792,"L-Isoleucine",1709," ",1
419,"2178",792,"L-Leucine",2973," ",1
420,"2178",792,"L-Lysine",2248," ",1
421,"2178",792,"L-Methionine",607," ",1
422,"2178",792,"L-Phenylalanine",887," ",1
423,"2178",792,"L-Threonine",2062," ",1
424,"2178",792,"L-Tryptophan",458," ",1
425,"2178",792,"L-Valine",1630," ",1
426,"2178",792,"<strong>Non-Essential Amino Acids</strong>",," ",1
427,"2178",792,"L-Alanine",1357," ",1
428,"2178",792,"L-Arginine",930," ",1
429,"2178",792,"L-Aspartic Acid",3088," ",1
430,"2178",792,"L-Cysteine",716," ",1
431,"2178",792,"L-Glutamic Acid",5022," ",1
432,"2178",792,"L-Glutamine",380," ",1
433,"2178",792,"Glycine",592," ",1
