SKU,Image,Featured Status,Name,Brand Name,Description Trimmed,List Price,Cost,Sell Price,Shippable,Weight,Weight Unit,Dimensions Unit,Length,Width,Height,Health Concerns,,Product Category,Package quantity,Default cart quantity
3046,3046.AlphaLipoicAcid(60v).png,,Alpha Lipoic Acid 600mg - 60 Vcaps¨,NOW Foods,"Universal Antioxidant* 600 mg - Highest Potency With Grape Seed Extract &#38; BioperineÂ® Vegetarian Formula Many nutritionist and researchers refer to Alpha Lipoic Acid (ALA) as the ""universal antioxidant"" based on its fat/water solubility.&nbsp; This allows it to travel to virtually any cell in the body to quench cell damaging oxidation.&nbsp; In addition, ALA has been shown to increase the free radical fighting abilities of other vitamins and antioxidants, especially C and E.&nbsp; NOWÂ® ALA 600 mg uses only the highest grade Alpha Lipoic Acid available, and delivers it in a high potency that has been proven safe in studies.&nbsp; To further support antioxidant activity, we've added 30 mg of Grape Seed Extract and 5 mg of BioperineÂ®, a potent compound that helps enhance the absorption of ALA.* Related Products",35.99,17.99,35.99,TRUE,0.19,LB,in,6,6,6,Glucose and Sugar Support ||Antioxidant,2,Antioxidant,1,1
3041,3041.AlphaLipoicAcid(120v).png,,Alpha Lipoic Acid 100 mg - 120 Vcaps¨,NOW Foods,"""The Metabolic Antioxidant"" Vegetarian Formula Alpha Lipoic Acid is a versatile water and fat soluble metabolic antioxidant.&nbsp; It is a potent free radical quencher and aids Vitamins C and E in their antioxidant activities.*&nbsp; Vitamins C and E are added as complementary, synergistic antioxidants. Related Products",19.99,9.99,19.99,TRUE,0.32,LB,in,6,6,6,General Health & Wellness || Antioxidant,2,Antioxidant,1,1
3040,3040.AlphaLipoicAcid(60v).png,,Alpha Lipoic Acid 100 mg - 60 Vcaps¨,NOW Foods,"This powerful metabolic antioxidant is unique in that it is both fat and water-soluble, can travel to any cell in the body and is therefore one of our most readily available oxidation destroyers. The ï¿½universalï¿½ antioxidant as its commonly referred to, Alpha Lipoic Acid (or ALA) remains one of the most widely used and trusted free radical fighters to date. Naturally enhancing to the way our body uses B vitamins, ALA is also vital to the production of energy from the proteins, carbohydrates, and fats we take in each day.* &nbsp; Related Products &nbsp;",10.99,5.49,10.99,TRUE,0.17,LB,in,6,6,6,General Health & Wellness || Antioxidant,2,Antioxidant,1,1
716,,,AlphaSorb-Cª 500 - 90 Vcaps¨,NOW Foods,"Antioxidant ProtectionThreonic Acid &; Alpha Lipoic Acid EnhancedBuffered, Bioavailable Vitamin C*Transport C-PLUS&reg;A Dietary Supplement&nbsp;Vegetarian Formula&nbsp;NOW&reg; AlphaSorb-C&trade; includes Transport C-PLUS&reg;, the trademarked blend of Threonic Acid Enhanced Buffered (non-acidic) Calcium Ascorbate and Alpha Lipoic Acid.&nbsp; Threonic Acid (a Vitamin C metabolite) has been shown to enhance cellular uptake of Vitamin C.&nbsp; Alpha Lipoic Acid is an antioxidant known to help regenerate Vitamin C in the body.&nbsp; Furthermore, studies suggest that Alpha Lipoic Acid may enhance the body's utilization of Vitamin C.&nbsp; The addition of Bioflavonoids as synergists help to create a well-absorbed, highly effective Vitamin C supplement.&nbsp; Vitamin C is best known as a highly effective antioxidant that can protect the body's cells and molecules from damage by free radicals.*",15.99,7.99,15.99,TRUE,0.33,LB,in,6,6,6,General Health & Wellness || Antioxidant,2,Vitamins,1,1
11,0011.AminoComplete(120c).png,,Amino Completeª - 120 Caps,NOW Foods,Balanced Blend of Amino Acids A Dietary Supplement,13.99,6.99,13.99,TRUE,0.4,LB,in,6,6,6,Fitness,2,Amino Acids,1,1
3317,,,Apple Cider Vinegar 450 mg - 180 Caps,NOW Foods,"Apple Cider Vinegar is an all-natural substance derived from the acetous fermentation of sweet apple cider. The apple is an excellent source of many vitamins and minerals, and these nutrients are also present in Apple Cider Vinegar. Get your ï¿½apple a dayï¿½ every day with NOWï¿½ Apple Cider Vinegar capsules. Related Products",13.99,6.99,13.99,TRUE,0.35,LB,in,6,6,6,Digestive Support ||Weight Management,2,Diet/Weight Management,1,1
5908,5908_AppleFiber_12oz.png,,Apple Fiber - 12 oz.,NOW Foods,"NOW Apple Fiber includes the excess portion of Jonathon, Red Delicious, and Rome varieties of apples.&nbsp; It naturally contains 10% pectin, which is sold separately as a dietary supplement. NOW Foods is a dedicated source for a wide variety of natural products.&nbsp; NOW Apple Fiber is recomended in conjunction with NOW Psyllium Husks and NOW 8 Billion Acidophilus and Bifidus.",4.49,2.69,4.49,TRUE,0.82,LB,in,6,6,6,Digestive Support,2,Fiber Supplement,1,1
2004,2004.Arginine(120c).png,,Arginine Power Super Stack - 120 Capsules,NOW Foods,"The Ultimate Energy Sports SupplementSupports Increased Muscle Strength*A Dietary SupplementNOW&reg; Arginine Power Super Stack is the ultimate energy sports supplement that also supports optimal performance.&nbsp; Arginine Power Super Stack contains Creatine, a well-studied sports supplement, for its ability to support increased muscle strength and muscle cell fuel availability.&nbsp; Yerba Mate and Guarana enhance alertness, while Rhodiola supports the body's balanced response to stress.&nbsp; Green Tea Extract (GTE) is a rich source of antioxidants that the body needs to quench the free radicals formed during intense exercise; GTE has also been shown to support heart health.&nbsp;",34.99,20.99,34.99,TRUE,0.39,LB,in,6,6,6,Fitness ||Cardiovascular Support ||Circulatory Support || Intimacy Support ||Heart Health,2,Sports Nutrition,1,1
2005,2005_ArgininePower2lbs.png,,Arginine Power Super Stack - 2.2 lbs.,NOW Foods,"The Ultimate Energy Sports Supplement Mix 100% Natural, Mixes Instantly, Tastes Great Supports Increased Muscle Strength* All Natural - No Aspartame, No Sucralose, No Acesulfame-K Tropical Punch Flavor A Dietary Supplement &nbsp; NOWÂ® Arginine Power Super Stack is the ultimate energy sports supplement mix that also supports optimal performance. &nbsp;Arginine Power Super Stack contains Creatine, a well-studied sports supplement, for its ability to support increased muscle strength and muscle cell fuel availability. Yerba Mate and Guarana enhance alertness, while Rhodiola supports the body's balanced response to stress. Green Tea Extract (GTE) is a rich source of antioxidants that the body needs to quench the free radicals formed during intense exercise; GTE has also been shown to support heart health. This combination of ingredients makes NOWÂ® Arginine Power Super Stack a great supplement for the use by any athlete - recreational or competitive.*",32.99,19.79,32.99,TRUE,2.57,LB,in,6,6,6,Fitness ||Cardiovascular Support ||Circulatory Support || Intimacy Support ||Heart Health,2,Sports Nutrition,1,1
790,,,Vitamin C Crystals - 8 oz.,NOW Foods,"Antioxidant Protection* Ascorbic Acid 100% Pure Powder Pharmaceutical Grade (USP) A Dietary Supplement Vegetarian Product &nbsp; Ascorbic Acid is another name for Vitamin C.&nbsp; Vitamin C is a popular antioxidant and one of the most widely used vitamins in the world.&nbsp; Fine Ascorbic acid is a bioavailable form of Vitamin C in a powder form, so it can be combined with other powdered supplements or dissolved in liquid for easy ingestion. From the FDA's website: ""Some scientific evidence suggests that consumption of antioxidant vitamins may reduce the risk of certain forms of cancer. However, FDA has determined that this evidence is limited and not conclusive."" Read FAQ's",14.99,7.49,14.99,TRUE,0.65,LB,in,6,6,6,Antioxidants,2,Vitamins,1,1
4603,4603.Ashwagandha(90v).png,,Ashwagandha Extract 450 mg - 90 Vcaps¨,NOW Foods,"Ayurvedic Adaptogen Standardized Extract Helps Body Adapt to Stress Immune System Support* Vegetarian Formula Ashwagandha (Withania somnifera) is an herb that is extensively used in Ayurveda, the traditional health care system in India.&nbsp; Ashwagandha is used as a general tonic and ""adaptogen"", helping the body adapt to stress.&nbsp; In addition, Ashwagandha has been shown to possess significant antioxidant activity as well as an ability to support a healthy immune system.* Related Products",16.99,8.49,16.99,TRUE,0.22,LB,in,6,6,6,Stress & Anxiety Support ||Mood Support || Nervous System Support,2,Herbs & Mushrooms,1,1
3251,,,Astaxanthin 4 mg - 60 Veggie Softgels,NOW Foods,"Supports Eye Health4 mgPotent Carotenoid AntioxidantHealthy Inflammatory Response*Vegetarian FormulaA Dietary SupplementAstaxanthin is a naturally occurring carotenoid that, because of its unique structure, provides a wide range of antioxidant benefits.&nbsp; Because Astaxanthin is able to cross the blood-brain and blood-retina barriers, it can deliver potent antioxidant protection directly to the eye, brain, and nervous system.&nbsp; Zanthin&reg; Astaxanthin has been patented for its ability to support retinal and overall ocular health.&nbsp; Scientific studies have also demonstrated that Astaxanthin can help to support a healthy inflammatory response.*Product FAQ'sRead more about Bioastin&reg; AstaxanthinMore about Carotenoids from Your Health Professor",19.99,9.99,19.99,TRUE,0.17,LB,in,6,6,6,Antioxidants || Skin Health,2,Antioxidant,1,1
3327,,,Awe-Slimª Liquid Weight Management - 32 oz.,NOW Foods,"Liquid Weight Management Helps Maintain Healthy Body Weight Supports Lean Muscle* NOWÂ® Awe-Slim&#8482; is a nutritional supplement containing Hydrolyzed Collagen, an easily digested and assimilated protein.&nbsp; The collagen protein in Awe-Slim&#8482; helps to support the body's ability to maintain lean muscle tissue, which in turn can facilitate fat loss.&nbsp; In addition, Awe-Slim&#8482; contains Chromium, an important cofactor for carbohydrate utilization, as well as Carnitine, which is an amino acid that is necessary for lipid oxidation.&nbsp; In providing the body with the nutrients needed to utilize fats and sugars more efficiency, NOWÂ® Awe-Slim&#8482; can help to maintain a healthy body weight.* Related Products",32.99,19.79,32.99,TRUE,2.77,LB,in,6,6,6,Weight Management,2,Diet/Weight Management,1,1
446,,,Vitamin B-1 (Thiamine) 100mg - 100 Tabs,NOW Foods,"Vitamin B-1, also known as Thiamine, is an essential nutrient first classified in 1936 by the chemist Robert Williams.ï¿½ As a coenzyme, thiamine helps your body metabolize carbohydrates and lipids and in a noncoenzymatic capacity plays a role in nerve tissue.* ï¿½ Read FAQ's",5.99,2.99,5.99,TRUE,0.14,LB,in,6,6,6,General Health & Wellness,2,Vitamins,1,1
466,,,Vitamin B-12 1000mcg - 100 Chewable Lozenges,NOW Foods,"Nervous System Health 1000 mcg Essential for DNA Synthesis* with Folic Acid A Dietary Supplement Vegetarian Formula Vitamin B-12 (Cyanocobalamin) is a water soluble vitamin necessary for the maintenance of a healthy nervous system and for the metabolic utilization of fats and proteins. &nbsp;Vitamin B-12 is also essential for the synthesis of DNA during cell division and therefore is especially important for rabidly multiplying cells, such as blood cells. &nbsp;In addition, adequate intake of Vitamin B-12, along with Folic Acid and Vitamin B-6, encourages healthy serum homocysteine levels, thereby supporting cardiovascular health. &nbsp;Because Vitamin B-12 is found predominantly in animal products, strict vegetarians are at risk of developing Vitamin B-12 deficiency and may benefit from supplementation.* &nbsp;NOWÂ® Vitamin B-12 is vegetarian/vegan (non-animal derived). What do cell replication, energy metabolism and DNA production all have in common? Each one of these vital functions relies on adequate levels of B-12 to occur. NOWÂ® B-12 1000 mcg with Folic Acid is an ideal way to supply the body with a perfect dose of this crucial nutrient. As an integral part in the lives of active and health conscious individuals, B-12 has gradually become recognized for its coenzymatic properties and important assistance for the production of healthy red blood cells.* &nbsp; &nbsp; From the FDA's website: ""As part of a well-balanced diet that is low in saturated fat and cholesterol, Vitamin B12 may reduce the risk of vascular disease. FDA evaluated the above claim and found that, while it is known that diets low in saturated fat and cholesterol reduce the risk of heart disease and other vascular diseases, the evidence in support of the above claim is inconclusive.""",6.99,3.49,6.99,TRUE,0.13,LB,in,6,6,6,General Health & Wellness,2,Vitamins,1,1
447,,,Vitamin B-2 (Riboflavin) 100mg - 100 Caps,NOW Foods,"Nutritional Health 100 mg Riboflavin A Dietary Supplement Vitamin B-2, also known as Riboflavin, is a member of the B-vitamin family. It occurs naturally in green vegetables, liver, kidneys, wheat germ, milk, eggs, cheese and fish. Because food processing depletes many naturally occurring nutrients, supplementation is key to insure adequate intake of this important vitamin. Read FAQ's",6.99,3.49,6.99,TRUE,0.19,LB,in,6,6,6,General Health & Wellness,2,Vitamins,1,1
421,,,Vitamin B-50 Caps Twinpack - 2/100 Caps,NOW Foods,Nutritional Health B-Complex For Maximum Effectiveness Supports Energy Production* A Dietary Supplement B-50 Capsules are a blend of key B vitamins combined with other nutritional factors for enhanced synergism. &nbsp;This formula provides recommended potencies of the most important B vitamins and is designed to supply your body's required daily intake in one complete supplement.,21.49,12.9,21.49,TRUE,0.55,LB,in,6,6,6,General Health & Wellness,2,Vitamins,1,1
456,,,Vitamin B-6 100mg 100 Caps,NOW Foods,"Vitamin B-6 is one of the more popular members of the B-vitamin family and is found in fresh&nbsp;vegetables.&nbsp; Clinical studies have shown that B-6 plays an important role in regulating homocysteine levels in the body.&nbsp; Homocysteine is produced as a by-product of the demethylation of methionine and can be toxic&nbsp;in elevated amounts.*&nbsp; Our Vitamin B-6 is screened for potency and purity.&nbsp; From the FDA's website: &quot;As part of a well-balanced diet that is low in saturated fat and cholesterol, Vitamin B6 may reduce the risk of vascular disease. FDA evaluated the above claim and found that, while it is known that diets low in saturated fat and cholesterol reduce the risk of heart disease and other vascular diseases, the evidence in support of the above claim is inconclusive.&quot; &nbsp; Read FAQ's",6.99,3.49,6.99,TRUE,0.19,LB,in,6,6,6,General Health & Wellness,2,Vitamins,1,1
3054,"3054.Beta1-3-1,6Glucan(90v).png",,"Beta 1,3/1,6- D -Glucan 100 mg - 90 Vcaps¨",NOW Foods,"100 mg Supports Healthy Immune Function Stimulates Macrophage Activity* A Dietary Supplement Vegetarian Formula NOWÂ® Beta-1,3/1,6-D-Glucan (Beta-Glucan) is a bioactive carbohydrate derived from the cell wall of Saccharomyces cerevisiae, commonly known as Bakers' yeast.&nbsp; Scientific studies have shown that Beta-Glucan supports healthy immune function through its ability to stimulate macrophage activity.&nbsp; NOW Beta-GlucanÂ® is blended into a synergistic base of Maitake Mushrooms for added support.* &nbsp; Technical Talk about Beta Glucans",16.99,8.49,16.99,TRUE,0.17,LB,in,6,6,6,Immune Support,2,Immune System Support,1,1
312,,,"Beta Carotene 25,000 IU - 250 Softgels",NOW Foods,"Beta Carotene is converted into Vitamin A in the body.&nbsp; It performs antioxidant functions which regular Vitamin A&nbsp;does not. Beta Carotene and Vitamin A are essential for the maintenance of healthy epithelial tissue, which is found in the eyes, skin, respiratory system,GI and urinary tracts.* Read more about Carotenoids from Your Health Professor",19.99,9.99,19.99,TRUE,0.21,LB,in,6,6,6,Antioxidants,2,Vitamins,1,1
320,,,Beta Carotene (Natural) - 90 Softgels,NOW Foods,"Essential Nutrition 25,000 IU D. salina with Mixed Carotenoids Converted to Vitamin A in Body* &nbsp; Natural Beta-Carotene contains additional antioxidant carotenoids, Alpha-Carotene, Zeaxanthin, Cryptoxanthin and Lutein as naturally occuring in D. salina sea algae.&nbsp; The natural balance of related carotenoids is what makes this product more bioavailable than common synthetic Beta-Carotene. &nbsp;Natural Beta-Carotene is a fat soluble food source of pro-Vitamin A. Read more about Carotenoids from Your Health Professor",13.99,6.99,13.99,TRUE,0.19,LB,in,6,6,6,Antioxidants,2,Vitamins,1,1
3065,,,Beta-Sitosterol Plant Sterols with CardioAid¨ - 100 Vcaps¨,NOW Foods,"Cardiovascular Health with CardioAid&reg; plant sterols Provides Cholesterol Lowering Benefits*&dagger; A Dietary Supplement Vegetarian Formula &nbsp;CardioAid&reg; Plant Sterols is a unique dietary supplement rich in plant sterols Beta-Sitosterol, Campesterol and Stigmasterol.&nbsp; Scientific studies have shown that plant sterols can help lower cholesterol levels*&dagger;",14.99,7.49,14.99,TRUE,0.22,LB,in,6,6,6,Cardiovascular Support ||Cholesterol ,2,Cholesterol/Cardiovascular Support,1,1
469,,,Biotin 1000 mcg - 100 Caps,NOW Foods,"Energy Production 1000 mg Supports Amino Acid Metabolism Promotes Normal Immunity* A Dietary Supplement &nbsp; Biotin is a water-soluble vitamin necessary for normal growth and body function.&nbsp; Biotin is a key regulatory element in gluconeogenesis, fatty acid synthesis, and in the metabolism of some amino acids.&nbsp; Alongside its role in energy production, Biotin enhances the synthesis of certain proteins.&nbsp; In addition, Biotin promotes normal immunity and plays a critical role in&nbsp;skin health.* &nbsp;",6.99,3.49,6.99,TRUE,0.11,LB,in,6,6,6,Skin Health || Energy Support,2,Vitamins,1,1
1715,,,Black Currant Oil 500 mg - 100 Softgels,NOW Foods,Black Currant Oil is extracted from black currant seeds that produce a valuable nutritional oil containing 14% GLA.ï¿½ Each softgel containsï¿½almost doubleï¿½the GLA content of Evening Primrose Oil.ï¿½ This means that 3 softgels a day provides the GLA equivalent of 6 regular Evening Primrose Oilï¿½ at a more economical price.,16.99,8.49,16.99,TRUE,0.23,LB,in,6,6,6,"General Health & Wellness || Joint Support ||Hair, Skin and Nail Support",2,Nutritional Oils,1,1
3066,,,Blood Pressure Health - 90 Vcaps&reg;,NOW Foods,"Cardiovascular Support Helps maintain blood pressure already within the healthy range* Vegetarian Formula Emerging evidence indicates that the role of Grape Seed Extract (GSE) in support of cardiovascular health may extend beyond its important antioxidant functions.&nbsp; Scientific studies have shown that the proprietary GSE found in NOWÂ® Blood Pressure Health, MegaNaturalÂ®-BP&#8482; contains flavonoids that can support healthy arterial function already within the healthy range through a number of mechanisms.&nbsp; In fact, these studies suggest that MegaNaturalÂ®-BP&#8482; can help maintain blood pressure already within the healthy range.&nbsp; In addition, NOW has included standardized Hawthorn Extract as a synergist.&nbsp; Hawthorn Extract provides powerful antioxidant flavonoids, including standardized Vitexin that, along with other components in Hawthorn, have also been found to support healthy range blood flow and healthy range blood pressure.*",29.99,14.99,29.99,TRUE,0.201,LB,in,6,6,6,Cardiovascular Support,2,Cholesterol/Cardiovascular Support,1,1
4614,4614.Boswellin(120c).png,,Boswellia Extract  - 120 Vcaps¨,NOW Foods,"Herbal Supplement250 mgStandardized Boswellia ExtractPlus Turmeric Root ExtractA Dietary SupplementVegetarian Formula&nbsp;&nbsp;NOW&reg; Boswellia Extract is standardized to contain min. 65% Boswellic Acids, the active constituents of the herb Boswellia serrata. Boswellia Extract is naturally produced from the gum resins of the Boswellia serrata tree. Turmeric Root has also been added for its synergistic and complementary effects.For More Information",21.99,10.99,21.99,TRUE,0.34,LB,in,6,6,6,Joint Support,2,Herbs & Mushrooms,1,1
3303,,,Brain Elevateª Vegetarian - 60 Vcaps¨,NOW Foods,"Cognitive Function With Huperzine A, Ginkgo Biloba, Phosphatidyl Serine and RoseOx&reg; Neuroprotective &; Antioxidant Activity* Vegetarian Formula NOW&reg; Brain Elevate&trade; is scientifically formulated to provide maximum support and nourishment to cerebral functions.&nbsp; Two of its primary components, Huperzine A and RoseOx&reg;, are known respectively for their neuroprotective and antioxidant activity.*&nbsp; Formulated with Ginkgo Biloba, Phosphatidyl Serine and Glutamine, Brain Elevate&trade; is synergistically balanced for optimal results. &nbsp; Related Products &nbsp; Roseox: A Powerful Antioxidant from Rosemary &nbsp;",21.99,10.99,21.99,TRUE,0.17,LB,in,6,6,6,Brain & Memory Support,2,Mental Fitness/Sleep and Mood Support,1,1
2410,2410.BrewersYeast(200t).png,,Brewer's Yeast 650 mg - 200 Tabs,NOW Foods,"Nutritional Supplement 10 Grain 650 mg A Dietary Supplement Vegetarian Formula &nbsp;&nbsp; Brewer's Yeast contains several naturally occurring vitamins, minerals, and other beneficial nutrients.&nbsp; All vitamins listed occur naturally in Brewer's Yeast.&nbsp; No synthetic vitamins were added to the yeast during processing.",6.99,3.49,6.99,TRUE,0.42,LB,in,6,6,6,Energy Support,2,Brewers Yeast/Nutritional Yeast,1,1
