,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value "
133,"2004",605,"Octacosanol (from Spinach) (Wheat-Free)","1.0 mg (1,000 mcg)","† "
134,"2005",606,"Serving Size:","1 Scoop (20 g)",
135,"2005",606,"Servings Per Container:",50,
136,"2005",606,"Calories",60," "
137,"2005",606,"Total Carbohydrate","15 g","5%* "
138,"2005",606,"Sugars","14 g","† "
139,"2005",606,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
140,"2005",606,"L-Arginine","600 mg","† "
141,"2005",606,"L-Citrulline","100 mg","† "
142,"2005",606,"L-Norvaline","100 mg","† "
143,"2005",606,"L-Ornithine (from L-Ornithine HCl)","200 mg","† "
144,"2005",606,"Creatine Monohydrate (Micronized)","3.0 g (3,000 mg)","† "
145,"2005",606,"Yerba Mate Extract (<em>Ilex paraguariensis</em>) (Leaf) (Contains 8 mg of naturally occurring caffeine)","100 mg","† "
146,"2005",606,"Green Tea Extract (<em>Camellia sinensis</em>) (Leaf) (60% Polyphenols, 40% Catechins) (Contains 4 mg of naturally occurring caffeine)","100 mg","† "
147,"2005",606,"Guarana Standardized Extract (<em>Paulinia cupana</em>) (Seed) (Contains 7.5 mg of naturally occurring caffeine)","50 mg","† "
148,"2005",606,"Gymnema Sylvestre Extract (GS4®) (25% Gymnenic Acid) (<em>Gymnema sylvestre</em>) (Leaf)","50 mg","† "
149,"2005",606,"Rhodiola Extract (<em>Rhodiola rosea</em>) (Root) (3% Rosavins)","25 mg","† "
150,"2005",606,"CoQ10 (Coenzyme Q10)","5 mg","† "
151,"2005",606,"Octacosanol (from Spinach) (Wheat-Free)","1.0 mg (1,000 mcg)","† "
152,"2005",606,"Organic Stevia Extract (<em>Stevia rebaudiana</em>) (Leaf)","160 mg","† "
153,"2020",625,"Serving Size:","1/2 Cup (50 g)",
154,"2020",625,"Servings Per Container:",18,
155,"2020",625,"Calories",190," "
156,"2020",625,"Total Carbohydrate","47 g","16%* "
157,"2020",625,"Sugars","2 g","† "
158,"2020",625,"<strong>Carbo Powder</strong>","<strong>50 g</strong>","<strong>†</strong> "
159,"2031",643,"Serving Size:","1 Heaping Teaspoon (5.0 g)",
160,"2031",643,"Servings Per Container:",120,
161,"2031",643,"Calories",15," "
162,"2031",643,"Creatine Monohydrate","5.0 g (5,000 mg)","† "
163,"2032",642,"Serving Size:","1 Heaping Teaspoon (5.0 g)",
164,"2032",642,"Servings Per Container:",200,
165,"2032",642,"Calories",15," "
166,"2032",642,"Creatine Monohydrate","5.0 g (5000 mg)","† "
167,"2040",655,"Serving Size:","1/4 Cup (20 g)",
168,"2040",655,"Servings Per Container:",27,
169,"2040",655,"Calories",75," "
170,"2040",655,"Calories from Fat",0," "
171,"2040",655,"<strong>Sodium</strong>","250 mg","<strong>10%</strong> "
172,"2040",655,"<strong>Total Carbohydrate</strong>","0.9 g","<strong>&#60;1%</strong> "
173,"2040",655,"<strong>Protein</strong>","16 g"," "
174,"2040",655,"Vitamin A",,0%
175,"2040",655,"Vitamin C",,0%
176,"2040",655,"Calcium",,2%
177,"2040",655,"Iron",,0
178,"2040",655,"Riboflavin (B-2)",,27%
179,"2040",655,,," "
180,"2040",655,"<strong>Typical Amino Acid Profile</strong>",," "
181,"2040",655,"<strong>Per 20 g Serving:</strong>",," "
182,"2040",655,"L-Alanine","1200 mg"," "
183,"2040",655,"L-Arginine","840 mg"," "
184,"2040",655,"L-Aspartic Acid","1675 mg"," "
185,"2040",655,"L-Glutamic Acid","2100 mg"," "
186,"2040",655,"Glycine","525 mg"," "
187,"2040",655,"L-Histidine","350 mg"," "
188,"2040",655,"L-Isoleucine","725 mg"," "
189,"2040",655,"L-Leucine","1205 mg"," "
190,"2040",655,"L-Lysine","940 mg"," "
191,"2040",655,"L-Methionine","785 mg"," "
192,"2040",655,"L-Phenylalanine","850 mg"," "
193,"2040",655,"L-Proline","565 mg"," "
194,"2040",655,"L-Proline","565 mg"," "
195,"2040",655,"L-Serine","1025 mg"," "
196,"2040",655,"L-Threonine","695 mg"," "
197,"2040",655,"L-Valine","1033 mg"," "
198,"2052",657,"Serving Size:","1 Scoop (45 g)",
199,"2052",657,"Servings Per Container:",22,
200,"2052",657,"Calories",150," "
201,"2052",657,"Total Fat","&#60; 0.5 g","&#60; 1%* "
202,"2052",657,"Cholesterol","5 mg",2%
203,"2052",657,"Total Carbohydrate","30 g","10%* "
204,"2052",657,"Sugars","25 g","† "
205,"2052",657,"Protein","6 g","12%* "
206,"2052",657,"Beta-Carotene (as pro-Vitamin A 780 mcg)","1300 IU",26%
207,"2052",657,"Vitamin C (as Ascorbic Acid)","250 mg",417%
208,"2052",657,"Vitamin E (as d-alpha Tocopheryl Acetate)","30 IU",100%
209,"2052",657,"Calcium (from Calcium Citrate)","50 mg",5%
210,"2052",657,"Magnesium (from Magnesium Citrate)","180 mg",45%
211,"2052",657,"Sodium","65 mg",3%
212,"2052",657,"Potassium (from Potassium Gluconate)","250 mg",7%
213,"2052",657,"Whey Protein Hydrolysate (Instantized)","4.0 g","† "
214,"2052",657,"L-Glutamine (Free-Form)","1.0 g","† "
215,"2052",657,"L-Arginine (Free-Form)","500 mg","† "
216,"2052",657,"L-Valine (Free-Form)","500 mg","† "
217,"2052",657,"L-Isoleucine (Free-Form)","250 mg","† "
218,"2052",657,"L-Leucine (Free-Form)","250 mg","† "
219,"2060",661,"Serving Size:","2 Heaping Tablespoons (32 g)",
220,"2060",661,"Servings Per Container:",14,
221,"2060",661,"Calories",150," "
222,"2060",661,"Calories from Fat",60," "
223,"2060",661,"Total Fat","6 g","9%* "
224,"2060",661,"Saturated Fat","1 g","5%* "
225,"2060",661,"Trans Fat","0 g","† "
226,"2060",661,"Polyunsaturated Fat","3 g","† "
227,"2060",661,"Monounsaturated Fat","1 g","† "
228,"2060",661,"Cholesterol","0 mg",0%
229,"2060",661,"Total Carbohydrate","12 g","4%* "
230,"2060",661,"Dietary Fiber","4 g","16%* "
231,"2060",661,"Sugars","4 g","† "
232,"2060",661,"Protein","11 g","22%* "
233,"2060",661,"Calcium (from Tri-Calcium Phosphate and Cal. Lactate)","670 mg",67%
234,"2060",661,"Phosphorous","200 mg",20%
235,"2060",661,"Magnesium","60 mg",15%
236,"2060",661,"Sodium","15 mg","<1% "
237,"2060",661,"Inulin [from Chicory (<i>Cichorium intybus)</i> Root]","1.75 g (1,750 mg)","† "
238,"2060",661,"Bromelain (2400 GDU/g)","150 mg","† "
239,"2060",661,"Beta-1,3/1,6-D-Glucan Powder","100 mg","† "
240,"2060",661,"<i>Stevia rebaudiana</i> Extract (Leaf)","55 mg","† "
241,"2060",661,,," "
242,"2060",661,"<strong>Typical Profile of naturally occurring nutrients (per serving)**</strong>",," "
243,"2060",661,"Total Soy Isoflavones","49 mg","† "
244,"2060",661,"Genistein","24 mg","† "
245,"2060",661,"Daidzein","22 mg","† "
246,"2060",661,"Glycetin","3 mg","† "
247,"2105",690,"Serving Size:","3 Tablets",
248,"2105",690,"Servings Per Container:",40,
249,"2105",690,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
250,"2105",690,"Chromium (from Chromax® Chromium Picolinate)","200 mcg",167%
251,"2105",690,"Choline (as Choline Bitartrate)","850 mg","† "
252,"2105",690,"Inositol","1.0 g (1,000 mg)","† "
253,"2105",690,"L-Methionine","500 mg","† "
254,"2105",690,"Taurine","250 mg","† "
255,"2105",690,"L-Carnitine (as L-Carnitine Tartrate)","100 mg","† "
256,"2135",738,"Serving Size:","1 Level Scoop (33 g)",
257,"2135",738,"Servings Per Container:",27,
258,"2135",738,"Calories",130," "
259,"2135",738,"Total Fat","2 g","3%* "
260,"2135",738,"Trans Fat","0 g","† "
261,"2135",738,"Cholesterol","0 mg",0%
262,"2135",738,"Total Carbohydrate","1 g","&#60;1%* "
263,"2135",738,"Dietary Fiber","0 g","0%* "
264,"2135",738,"Sugars","0 g","† "
265,"2135",738,"Protein","28 g","56%* "
266,"2135",738,"Sodium","330 mg",14%
267,"2135",738,,," "
268,"2135",738,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," "
269,"2135",738,"<strong>Essential Amino Acids</strong>","<strong>mg Per 33 g Serving</strong>"," "
270,"2135",738,"L-Histidine",660," "
271,"2135",738,"L-Isoleucine",1287," "
272,"2135",738,"L-Leucine",2244," "
273,"2135",738,"L-Lysine",1980," "
274,"2135",738,"L-Methionine",264," "
275,"2135",738,"L-Phenylalanine",1419," "
276,"2135",738,"L-Threonine",1089," "
277,"2135",738,"L-Tryptophan",264," "
278,"2135",738,"L-Valine",1353," "
279,"2135",738,"<strong>Non-Essential Amino Acids</strong>",," "
280,"2135",738,"L-Alanine",1122," "
281,"2135",738,"L-Arginine",2376," "
282,"2135",738,"L-Aspartic Acid",3135," "
283,"2135",738,"L-Cysteine",594," "
284,"2135",738,"L-Glutamic Acid",4686," "
285,"2135",738,"Glycine",1122," "
286,"2135",738,"L-Proline",1221," "
287,"2135",738,"L-Serine",1386," "
288,"2135",738,"L-Tyrosine",1023,"- "
289,"2135",738,"<strong>Total</strong>","<strong>27,225 mg</strong>"," "
290,"2140",749,"Serving Size:","2 Tablets",
291,"2140",749,"Servings Per Container:",45,
292,"2140",749,"Calcium (from Calcium Pyruvate)","260 mg",26%
293,"2140",749,"<strong>Calcium Pyruvate</strong>","<strong>2.0 g (2,000 mg)</strong>","<strong>†</strong> "
294,"2140",749,"Pyruvic Acid","1.2 g (1,200 mg)","† "
295,"2144",652,"Serving Size:","6 Vcaps&ampreg;",
296,"2144",652,"Servings Per Container:",10,
297,"2144",652,"Calories",20," "
298,"2144",652,"Total Carbohydrates","4.5 g",2%
299,"2144",652,"<b>D-Ribose Powder (Bioenergy RIBOSE™)</b>","<b>4.5 g (4,500 mg)</b>","<b>†</b> "
300,"2146",653,"Serving Size:","1 1/2 Level Teaspoons (5 g)",
301,"2146",653,"Servings Per Container:",22,
302,"2146",653,"Calories",20," "
303,"2146",653,"Total Carbohydrates","5 g","2%* "
304,"2146",653,"<b>D-Ribose Powder (Bioenergy RIBOSE™)</b>","<b>5 g (5,000 mg)</b>","<b>†</b> "
305,"2148",755,"Serving Size:","1 Chewable Tablet",
306,"2148",755,"Servings Per Container:",90,
307,"2148",755,"Calories",10," "
308,"2148",755,"Total Carbohydrate","2 g","<1% "
309,"2148",755,"Sugars","2 g"," "
310,"2148",755,"Beta-Carotene (as pro-Vitamin A 150 mcg)","250 IU",5%
311,"2148",755,"<strong>D-Ribose Powder (Bioenergy RIBOSE</strong><strong>™)</strong>","<strong>1.5 g (1,500 mg)</strong>","<strong>†</strong> "
312,"2148",755,"Dextrose","350 mg","† "
313,"2168",780,"Serving Size:","2 Vcaps&ampreg;",
314,"2168",780,"Servings Per Container:",30,
315,"2168",780,"Vitamin B-6 (from Pyridoxine HCl)","3.5 mg",175%
316,"2168",780,"Magnesium (from Maganesium Aspartate)","150 mg",38%
317,"2168",780,"Zinc (from Zinc L-Monomethionine and Zinc Aspartate)","10 mg",67%
318,"2168",780,"<strong>ZMA&ampreg; (Patented mineral blend of Zinc L-Monomethionine, Magnesium/</strong>Zinc Aspartate, and Pyridoxine HCl)","<strong>808 mg</strong>","<strong>&ampdagger;</strong> "
319,"2168",780,"Eleuthero (<i>Eleutherococcus senticosus</i>) (Root)","300 mg","† "
320,"2168",780,"<i>Tribulus terrestris</i> Extract (Fruit) (min. 20% Protodioscin)","250 mg","† "
321,"2168",780,"<strong>LJ100</strong>®<strong> Tongkat Ali (<em>Eurycoma longifolia</em> Extract) (Root) (min. 22% Eurypeptides)</strong>","<strong>50 mg</strong>","<strong>†</strong> "
322,"2170",782,"Serving Size:","1 Capsule",
323,"2170",782,"Servings Per Container:",100,
324,"2170",782,"<em>Tribulus terrestris</em> (Standardized Extract) (min. 45% Saponins) (Aerial Parts and Fruit)","500 mg*"," "
325,"2173",793,"Serving Size:","1 Scoop (42 g)",
326,"2173",793,"Servings Per Container:",12,
327,"2173",793,"Calories",165," "
328,"2173",793,"Calories from Fat",15," "
329,"2173",793,"Total Fat","1.5 g","2%* "
330,"2173",793,"Saturated Fat","0.8 g","4%* "
331,"2173",793,"Trans Fat","0 g","† "
332,"2173",793,"Cholesterol","4 mg",1%
333,"2173",793,"Total Carbohydrate","9 g","3%* "
334,"2173",793,"Sugars","9 g","† "
335,"2173",793,"Protein","30 g","60%* "
336,"2173",793,"Calcium","90 mg",9%
337,"2173",793,"Sodium","100 mg",4%
338,"2173",793,"Potassium","128 mg",4%
339,"2173",793,"<em>Stevia rebaudiana</em> Extract (Leaf)","93 mg","† "
340,"2173",793,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," "
341,"2173",793,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," "
342,"2173",793,"L-Isoleucine",1712," "
343,"2173",793,"L-Leucine",3120," "
344,"2173",793,"L-Lysine",2600," "
345,"2173",793,"L-Methionine",734," "
346,"2173",793,"L-Phenylalanine",885," "
347,"2173",793,"L-Threonine",1914," "
348,"2173",793,"L-Tryptophan",455," "
349,"2173",793,"L-Valine",1529," "
350,"2173",793,"<b>Non-essential Amino Acids</b>",," "
351,"2173",793,"L-Alanine",1442," "
352,"2173",793,"L-Arginine",762," "
353,"2173",793,"L-Aspartic Acid",2969," "
354,"2173",793,"L-Cysteine",629," "
355,"2173",793,"L-Glutamic Acid",5400," "
356,"2173",793,"L-Glutamine",830," "
357,"2173",793,"Glycine",497," "
358,"2173",793,"L-Histidine",450," "
359,"2173",793,"L-Proline",1725," "
360,"2173",793,"L-Serine",1389," "
361,"2173",793,"L-Tyrosine",875," "
362,"2173",793,"<strong>Total</strong>","<strong>29,917 mg</strong>"," "
363,"2175",794,"Serving Size:","1 Scoop (42 g)",
364,"2175",794,"Servings Per Container:",21,
365,"2175",794,"Calories",165," "
366,"2175",794,"Calories from Fat",15," "
367,"2175",794,"Total Fat","1.5 g","2%* "
368,"2175",794,"Saturated Fat","0.8 g","4%* "
369,"2175",794,"Trans Fat","0 g","† "
370,"2175",794,"Cholesterol","4 mg",1%
371,"2175",794,"Total Carbohydrate","9 g","3%* "
372,"2175",794,"Sugars","9 g","† "
373,"2175",794,"Protein","30 g","60%* "
374,"2175",794,"Calcium","90 mg",9%
375,"2175",794,"Sodium","100 mg",4%
376,"2175",794,"Potassium","128 mg",4%
377,"2175",794,"<em>Stevia rebaudiana</em> Extract (Leaf)","93 mg","† "
378,"2175",794,,," "
379,"2175",794,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," "
380,"2175",794,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," "
381,"2175",794,"L-Isoleucine",1712," "
382,"2175",794,"L-Leucine",3120," "
383,"2175",794,"L-Lysine",2600," "
384,"2175",794,"L-Methionine",734," "
385,"2175",794,"L-Phenylalanine",885," "
386,"2175",794,"L-Threonine",1914," "
387,"2175",794,"L-Tryptophan",455," "
388,"2175",794,"L-Valine",1529," "
389,"2175",794,"<strong>Non-Essential Amino Acids</strong>",," "
390,"2175",794,"L-Alanine",1442," "
391,"2175",794,"L-Arginine",762," "
392,"2175",794,"L-Aspartic Acid",2969," "
393,"2175",794,"L-Cysteine",629," "
394,"2175",794,"L-Glutamic Acid",5400," "
395,"2175",794,"L-Glutamine",830," "
396,"2175",794,"Glycine",497," "
397,"2175",794,"L-Histidine",450," "
398,"2175",794,"L-Proline",1725," "
399,"2175",794,"L-Serine",1389," "
400,"2175",794,"L-Tyrosine",875," "
401,"2175",794,"<strong>Total</strong>","<strong>29,917 mg</strong>"," "
402,"2178",792,"Serving Size:","1 Scoop (42 g)",
403,"2178",792,"Servings Per Container:",21,
404,"2178",792,"Calories",155," "
405,"2178",792,"Calories from Fat",15," "
406,"2178",792,"Total Fat","1.5 g","2%* "
407,"2178",792,"Saturated Fat","1 g","5%* "
408,"2178",792,"Trans Fat","0 g","† "
409,"2178",792,"Cholesterol","24 mg",8%
410,"2178",792,"Total Carbohydrate","9 g","3%* "
411,"2178",792,"Sugars","7 g","† "
412,"2178",792,"Protein","26 g","52%* "
413,"2178",792,"Calcium","170 mg",17%
414,"2178",792,"Sodium","73 mg",3%
415,"2178",792,"<i>Stevia rebaudiana</i> Extract (Leaf)","97 mg","† "
416,"2178",792,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," "
417,"2178",792,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," "
418,"2178",792,"L-Isoleucine",1709," "
419,"2178",792,"L-Leucine",2973," "
420,"2178",792,"L-Lysine",2248," "
421,"2178",792,"L-Methionine",607," "
422,"2178",792,"L-Phenylalanine",887," "
423,"2178",792,"L-Threonine",2062," "
424,"2178",792,"L-Tryptophan",458," "
425,"2178",792,"L-Valine",1630," "
426,"2178",792,"<strong>Non-Essential Amino Acids</strong>",," "
427,"2178",792,"L-Alanine",1357," "
428,"2178",792,"L-Arginine",930," "
429,"2178",792,"L-Aspartic Acid",3088," "
430,"2178",792,"L-Cysteine",716," "
431,"2178",792,"L-Glutamic Acid",5022," "
432,"2178",792,"L-Glutamine",380," "
433,"2178",792,"Glycine",592," "
434,"2178",792,"L-Histidine",518," "
435,"2178",792,"L-Proline",2199," "
436,"2178",792,"L-Serine",1544," "
437,"2178",792,"L-Tyrosine",919," "
438,"2178",792,"<strong>Total</strong>","<strong>29,839 mg</strong>"," "
439,"2180",791,"Serving Size:","1 Scoop (42g)",
440,"2180",791,"Servings Per Container:",21,
441,"2180",791,"Calories",160," "
442,"2180",791,"Calories from Fat",15," "
443,"2180",791,"Total Fat","1.5 g","2%* "
444,"2180",791,"Saturated Fat","1.2 g","6%* "
445,"2180",791,"Trans Fat","0 g","† "
446,"2180",791,"Cholesterol","5.5 mg",2%
447,"2180",791,"Total Carbohydrate","12 g","4%* "
448,"2180",791,"Sugars","7.5 g","† "
449,"2180",791,"Protein","24 g","48%* "
450,"2180",791,"Calcium","72 mg",7%
451,"2180",791,"Sodium","81 mg",3%
452,"2180",791,"Potassium","137 mg",4%
453,"2180",791,"Organic Stevia Extract <i>(Stevia rebaudiana)</i> (Leaf)","300 mg","† "
454,"2180",791,"<strong>TYPICAL AMINO ACID PROFILE</strong>",," "
455,"2180",791,"<strong>Essential Amino Acids</strong>","<strong>mg Per 42 g Serving</strong>"," "
456,"2180",791,"L-Isoleucine",1458," "
457,"2180",791,"L-Leucine",2873," "
458,"2180",791,"L-Lysine",2226," "
459,"2180",791,"L-Methionine",558," "
460,"2180",791,"L-Phenylalanine",849," "
461,"2180",791,"L-Threonine",1790," "
462,"2180",791,"L-Tryptophan",458," "
463,"2180",791,"L-Valine",1382," "
464,"2180",791,"<strong>Non-Essential Amino Acids</strong>",," "
465,"2180",791,"L-Alanine",1895," "
466,"2180",791,"L-Arginine",663," "
467,"2180",791,"L-Aspartic Acid",2777," "
